20	20	
0	0	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	12	1
0	13	1
0	14	1
0	15	1
0	16	1
0	17	1
0	18	1
0	19	1
1	0	1
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	1
1	12	1
1	13	1
1	14	1
1	15	1
1	16	1
1	17	1
1	18	1
1	19	1
2	0	1
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	1
2	9	1
2	10	1
2	11	1
2	12	1
2	13	1
2	14	1
2	15	1
2	16	1
2	17	1
2	18	1
2	19	1
3	0	1
3	1	1
3	2	1
3	3	1
3	4	1
3	5	1
3	6	1
3	7	1
3	8	1
3	9	1
3	10	1
3	11	1
3	12	1
3	13	1
3	14	1
3	15	1
3	16	1
3	17	1
3	18	1
3	19	1
4	0	1
4	1	1
4	2	1
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	1
4	9	1
4	10	1
4	11	1
4	12	1
4	13	1
4	14	1
4	15	1
4	16	1
4	17	1
4	18	1
4	19	1
5	0	1
5	1	1
5	2	1
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	1
5	9	1
5	10	1
5	11	1
5	12	1
5	13	1
5	14	1
5	15	1
5	16	1
5	17	1
5	18	1
5	19	1
6	0	1
6	1	1
6	2	1
6	3	1
6	4	1
6	5	1
6	6	1
6	7	1
6	8	1
6	9	1
6	10	1
6	11	1
6	12	1
6	13	1
6	14	1
6	15	1
6	16	1
6	17	1
6	18	1
6	19	1
7	0	1
7	1	1
7	2	1
7	3	1
7	4	1
7	5	1
7	6	1
7	7	1
7	8	1
7	9	1
7	10	1
7	11	1
7	12	1
7	13	1
7	14	1
7	15	1
7	16	1
7	17	1
7	18	1
7	19	1
8	0	1
8	1	1
8	2	1
8	3	1
8	4	1
8	5	1
8	6	1
8	7	1
8	8	1
8	9	1
8	10	1
8	11	1
8	12	1
8	13	1
8	14	1
8	15	1
8	16	1
8	17	1
8	18	1
8	19	1
9	0	1
9	1	1
9	2	1
9	3	1
9	4	1
9	5	1
9	6	1
9	7	1
9	8	1
9	9	1
9	10	1
9	11	1
9	12	1
9	13	1
9	14	1
9	15	1
9	16	1
9	17	1
9	18	1
9	19	1
10	0	1
10	1	1
10	2	1
10	3	1
10	4	1
10	5	1
10	6	1
10	7	1
10	8	1
10	9	1
10	10	1
10	11	1
10	12	1
10	13	1
10	14	1
10	15	1
10	16	1
10	17	1
10	18	1
10	19	1
11	0	1
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	1
11	7	1
11	8	1
11	9	1
11	10	1
11	11	1
11	12	1
11	13	1
11	14	1
11	15	1
11	16	1
11	17	1
11	18	1
11	19	1
12	0	1
12	1	1
12	2	1
12	3	1
12	4	1
12	5	1
12	6	1
12	7	1
12	8	1
12	9	1
12	10	1
12	11	1
12	12	1
12	13	1
12	14	1
12	15	1
12	16	1
12	17	1
12	18	1
12	19	1
13	0	2
13	1	2
13	2	2
13	3	2
13	4	2
13	5	2
13	6	2
13	7	2
13	8	2
13	9	2
13	10	2
13	11	2
13	12	2
13	13	2
13	14	2
13	15	2
13	16	2
13	17	2
13	18	2
13	19	2
14	0	2
14	1	2
14	2	2
14	3	2
14	4	2
14	5	2
14	6	2
14	7	2
14	8	2
14	9	2
14	10	2
14	11	2
14	12	2
14	13	2
14	14	2
14	15	2
14	16	2
14	17	2
14	18	2
14	19	2
15	0	2
15	1	2
15	2	2
15	3	2
15	4	2
15	5	2
15	6	2
15	7	2
15	8	2
15	9	2
15	10	2
15	11	2
15	12	2
15	13	2
15	14	2
15	15	2
15	16	2
15	17	2
15	18	2
15	19	2
16	0	2
16	1	2
16	2	2
16	3	2
16	4	2
16	5	2
16	6	2
16	7	2
16	8	2
16	9	2
16	10	2
16	11	2
16	12	2
16	13	2
16	14	2
16	15	2
16	16	2
16	17	2
16	18	2
16	19	2
17	0	2
17	1	2
17	2	2
17	3	2
17	4	2
17	5	2
17	6	2
17	7	2
17	8	2
17	9	2
17	10	2
17	11	2
17	12	2
17	13	2
17	14	2
17	15	2
17	16	2
17	17	2
17	18	2
17	19	2
18	0	2
18	1	2
18	2	2
18	3	2
18	4	2
18	5	2
18	6	2
18	7	2
18	8	2
18	9	2
18	10	2
18	11	2
18	12	2
18	13	2
18	14	2
18	15	2
18	16	2
18	17	2
18	18	2
18	19	2
19	0	2
19	1	2
19	2	2
19	3	2
19	4	2
19	5	2
19	6	2
19	7	2
19	8	2
19	9	2
19	10	2
19	11	2
19	12	2
19	13	2
19	14	2
19	15	2
19	16	2
19	17	2
19	18	2
19	19	2
